AttractionId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress
1,12,3,Tel Aviv Museum,"121 Main Road, Tel Aviv"
2,129,11,Cape Town Landmark,"145 Main Road, Cape Town"
3,116,15,Port Moresby Ballet Theatre,"48 Main Road, Port Moresby"
4,7,6,Athens Aqua Park,"363 Main Road, Athens"
5,56,8,Dhaka Cavern,"107 Main Road, Dhaka"
6,79,12,Bengaluru Old Town,"311 Main Road, Bengaluru"
7,2,4,Lyon Shrine,"180 Main Road, Lyon"
8,63,12,Rome Old Town,"39 Main Road, Rome"
9,42,7,Cape Town Volcano,"182 Main Road, Cape Town"
10,28,11,Riyadh Landmark,"123 Main Road, Riyadh"
11,54,13,Sao Paulo Bazaar,"71 Main Road, Sao Paulo"
12,12,7,Tel Aviv Volcano,"303 Main Road, Tel Aviv"
13,17,8,Oslo Cavern,"173 Main Road, Oslo"
14,97,5,Shanghai Wildlife Reserve,"234 Main Road, Shanghai"
15,116,2,Port Moresby Ancient City,"34 Main Road, Port Moresby"
16,55,12,Marrakesh District,"17 Main Road, Marrakesh"
17,11,3,Lisbon Museum,"132 Main Road, Lisbon"
18,17,10,Oslo Conservation Area,"42 Main Road, Oslo"
19,102,3,Nairobi Historical Museum,"69 Main Road, Nairobi"
20,123,5,Gaborone Sanctuary,"232 Main Road, Gaborone"
21,132,7,Los Angeles Crater,"236 Main Road, Los Angeles"
22,116,5,Port Moresby Wildlife Reserve,"383 Main Road, Port Moresby"
23,23,7,Lahore Crater,"313 Main Road, Lahore"
24,59,1,Prague Bay,"195 Main Road, Prague"
25,62,11,Kuala Lumpur Monument,"375 Main Road, Kuala Lumpur"
26,132,3,Los Angeles Heritage Centre,"189 Main Road, Los Angeles"
27,75,13,Beijing Street Market,"133 Main Road, Beijing"
28,41,9,Tokyo Wellness Retreat,"176 Main Road, Tokyo"
29,48,5,San Jose Nature Park,"330 Main Road, San Jose"
30,129,1,Cape Town Cove,"56 Main Road, Cape Town"
31,65,5,Kingston Wildlife Reserve,"44 Main Road, Kingston"
32,125,10,Melbourne National Park,"113 Main Road, Melbourne"
33,17,4,Oslo Mosque,"291 Main Road, Oslo"
34,68,15,New York Opera House,"43 Main Road, New York"
35,54,10,Sao Paulo Conservation Area,"92 Main Road, Sao Paulo"
36,124,4,Stockholm Temple,"222 Main Road, Stockholm"
37,45,9,Los Angeles Hot Springs,"332 Main Road, Los Angeles"
38,113,7,Osaka Mount,"127 Main Road, Osaka"
39,72,4,Accra Mosque,"117 Main Road, Accra"
40,14,10,Barcelona Conservation Area,"103 Main Road, Barcelona"
41,103,15,Panama City Opera House,"66 Main Road, Panama City"
42,127,8,Tunis Caves,"174 Main Road, Tunis"
43,42,15,Cape Town Opera House,"356 Main Road, Cape Town"
44,120,2,Singapore Archaeological Park,"356 Main Road, Singapore"
45,23,4,Lahore Temple,"208 Main Road, Lahore"
46,15,8,Nairobi Caves,"309 Main Road, Nairobi"
47,21,6,Havana Aqua Park,"150 Main Road, Havana"
48,76,14,Milan Waterfall,"298 Main Road, Milan"
49,19,6,Lagos Water Park,"374 Main Road, Lagos"
50,48,15,San Jose Opera House,"49 Main Road, San Jose"
51,54,2,Sao Paulo Archaeological Park,"62 Main Road, Sao Paulo"
52,26,12,Osaka Quarter,"240 Main Road, Osaka"
53,79,11,Bengaluru Tower,"79 Main Road, Bengaluru"
54,35,5,Bandung Sanctuary,"311 Main Road, Bandung"
55,90,5,Surabaya Nature Park,"200 Main Road, Surabaya"
56,93,7,Penang Mount,"6 Main Road, Penang"
57,45,3,Los Angeles Museum,"53 Main Road, Los Angeles"
58,4,1,Paris Shore,"49 Main Road, Paris"
59,27,5,Cairo Sanctuary,"278 Main Road, Cairo"
60,27,12,Cairo Quarter,"80 Main Road, Cairo"
61,97,13,Shanghai Night Market,"286 Main Road, Shanghai"
62,32,2,Santo Domingo Archaeological Park,"53 Main Road, Santo Domingo"
63,74,7,Seoul Crater,"371 Main Road, Seoul"
64,87,2,Hanoi Archaeological Park,"121 Main Road, Hanoi"
65,103,2,Panama City Ancient City,"265 Main Road, Panama City"
66,101,5,Barcelona Nature Park,"115 Main Road, Barcelona"
67,87,15,Hanoi Ballet Theatre,"10 Main Road, Hanoi"
68,76,9,Milan Hot Springs,"253 Main Road, Milan"
69,132,13,Los Angeles Street Market,"56 Main Road, Los Angeles"
70,102,12,Nairobi Old Town,"386 Main Road, Nairobi"
71,83,3,Bogota Museum,"373 Main Road, Bogota"
72,82,12,Chennai Quarter,"187 Main Road, Chennai"
73,25,10,Chicago Conservation Area,"8 Main Road, Chicago"
74,36,10,Gaborone National Park,"331 Main Road, Gaborone"
75,57,4,Copenhagen Cathedral,"93 Main Road, Copenhagen"
76,119,6,Santo Domingo Splash World,"242 Main Road, Santo Domingo"
