TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,ContinentId,RegionId,CountryId,UserCityId,CityName,CityCountryId,Continent,Region,Country,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionType,AttractionCity,Season,MonthsSinceFirstVisit
1,2224,2021,4,Friends,116,4,1,4,17,34,Toronto,17,Asia,Western Asia,Saudi Arabia,115,7,Riyadh Mount,"339 Main Road, Riyadh",Volcanos,Riyadh,Spring,16
2,1774,2021,10,Family,34,5,4,12,46,93,Penang,46,South America,South America,Argentina,68,15,New York Opera House,"43 Main Road, New York",Ballets,New York,Autumn,22
3,2246,2022,1,Solo,230,5,6,17,64,128,Tokyo,64,Oceania,Australia And New Zealand,New Zealand,40,14,Tunis Falls,"73 Main Road, Tunis",Waterfalls,Tunis,Winter,25
4,1927,2023,5,Family,30,5,4,12,48,95,Dubai,48,South America,South America,Chile,129,1,Cape Town Cove,"56 Main Road, Cape Town",Beaches,Cape Town,Spring,41
5,1317,2024,1,Couples,143,5,5,16,61,121,Toronto,61,Africa,North Africa,Morocco,130,9,Rio de Janeiro Wellness Retreat,"153 Main Road, Rio de Janeiro",Spas,Rio De Janeiro,Winter,49
6,834,2024,5,Family,52,5,2,5,21,41,Tokyo,21,Europe,Western Europe,Germany,26,12,Osaka Quarter,"240 Main Road, Osaka",Neighborhoods,Osaka,Spring,53
7,1513,2020,12,Family,30,4,1,4,16,33,Singapore,16,Asia,Western Asia,United Arab Emirates,129,1,Cape Town Cove,"56 Main Road, Cape Town",Beaches,Cape Town,Winter,12
8,760,2022,4,Family,172,4,4,12,45,89,Lyon,45,South America,South America,Brazil,14,7,Barcelona Volcano,"50 Main Road, Barcelona",Volcanos,Barcelona,Spring,28
9,1397,2022,10,Solo,118,5,5,14,54,105,Jakarta,54,Africa,West Africa,Nigeria,15,9,Nairobi Wellness Retreat,"253 Main Road, Nairobi",Spas,Nairobi,Autumn,34
10,481,2023,5,Friends,103,5,3,9,38,74,Seoul,38,North America,Northern America,Mexico,56,5,Dhaka Nature Park,"312 Main Road, Dhaka",Nature & Wildlife Areas,Dhaka,Spring,41
11,1660,2024,7,Family,88,5,2,5,21,42,Cape Town,21,Europe,Western Europe,Germany,45,9,Los Angeles Thermal Spa,"47 Main Road, Los Angeles",Spas,Los Angeles,Summer,55
12,724,2022,2,Couples,335,5,5,13,53,101,Barcelona,53,Africa,East Africa,Ethiopia,104,3,Oslo Heritage Centre,"19 Main Road, Oslo",History Museums,Oslo,Winter,26
13,838,2024,4,Couples,8,5,5,13,53,101,Barcelona,53,Africa,East Africa,Ethiopia,63,12,Rome Old Town,"39 Main Road, Rome",Neighborhoods,Rome,Spring,52
14,1442,2023,7,Friends,85,5,1,1,6,14,Barcelona,6,Asia,South East Asia,Philippines,31,3,Mumbai Museum,"124 Main Road, Mumbai",History Museums,Mumbai,Summer,43
15,545,2021,11,Friends,219,3,2,6,27,54,Sao Paulo,27,Europe,Southern Europe,Portugal,51,7,Warsaw Mount,"275 Main Road, Warsaw",Volcanos,Warsaw,Autumn,23
16,2889,2023,6,Couples,307,4,2,7,30,59,Prague,30,Europe,Northern Europe,Norway,87,1,Hanoi Bay,"316 Main Road, Hanoi",Beaches,Hanoi,Summer,42
17,1261,2023,1,Business,22,5,3,11,42,84,Madrid,42,North America,Caribbean,Jamaica,116,5,Port Moresby Wildlife Reserve,"383 Main Road, Port Moresby",Nature & Wildlife Areas,Port Moresby,Winter,37
18,985,2024,7,Couples,11,4,2,6,24,46,Taipei,24,Europe,Southern Europe,Italy,54,13,Sao Paulo Bazaar,"71 Main Road, Sao Paulo",Flea & Street Markets,Sao Paulo,Summer,55
19,117,2023,1,Couples,202,4,2,7,31,62,Kuala Lumpur,31,Europe,Northern Europe,Denmark,2,6,Lyon Water Park,"173 Main Road, Lyon",Water Parks,Lyon,Winter,37
20,2512,2022,8,Family,151,2,3,10,40,77,Lima,40,North America,Central America,Panama,95,1,Dubai Cove,"5 Main Road, Dubai",Beaches,Dubai,Summer,32
21,1826,2020,10,Family,56,4,5,15,57,112,Chicago,57,Africa,Southern Africa,South Africa,93,7,Penang Mount,"6 Main Road, Penang",Volcanos,Penang,Autumn,10
